tau_i,T_i,sim_i,subj_id,loc_id,exec_t,SS_start_diff,SS_end_diff,manSS_tau_i,manSS_T_i
5113,115,0.365891081740545,idabd0c53c,left_wrist,1.12588095664978,-1,-3,5112,113
5111,114,0.373280026545782,idabd0c53c,left_hip,0.961760997772217,1,0,5112,113
5111,114,0.669482951686357,idabd0c53c,left_ankle,0.937618970870972,1,0,5112,113
5113,116,0.586325204041793,idabd0c53c,right_ankle,0.970832109451294,-1,-4,5112,113
7155,109,0.386267814840798,idabd0c53c,left_wrist,1.12588095664978,-4,-2,7151,111
7152,113,0.338145700085078,idabd0c53c,left_hip,0.961760997772217,-1,-3,7151,111
7152,110,0.66574987946686,idabd0c53c,left_ankle,0.937618970870972,-1,0,7151,111
7154,109,0.635694437838353,idabd0c53c,right_ankle,0.970832109451294,-3,-1,7151,111
10929,109,0.379031296742621,idabd0c53c,left_wrist,1.12588095664978,-3,-3,10926,109
10926,109,0.416002856982449,idabd0c53c,left_hip,0.961760997772217,0,0,10926,109
10925,109,0.744664890085554,idabd0c53c,left_ankle,0.937618970870972,1,1,10926,109
10925,109,0.645268850708744,idabd0c53c,right_ankle,0.970832109451294,1,1,10926,109
17244,108,0.437371731967877,idabd0c53c,left_wrist,1.12588095664978,-3,-3,17241,108
17244,105,0.426140665412538,idabd0c53c,left_hip,0.961760997772217,-3,0,17241,108
17241,107,0.673001886315117,idabd0c53c,left_ankle,0.937618970870972,0,1,17241,108
17241,108,0.642229231840436,idabd0c53c,right_ankle,0.970832109451294,0,0,17241,108
3854,116,0.380896042112788,idabd0c53c,left_wrist,1.12588095664978,-2,-3,3852,115
3851,117,0.367713084506441,idabd0c53c,left_hip,0.961760997772217,1,-1,3852,115
3850,117,0.636906749215652,idabd0c53c,left_ankle,0.937618970870972,2,0,3852,115
3856,113,0.632613521123369,idabd0c53c,right_ankle,0.970832109451294,-4,-2,3852,115
17033,107,0.344462501322518,idabd0c53c,left_wrist,1.12588095664978,-4,-4,17029,107
17030,106,0.462154422445213,idabd0c53c,left_hip,0.961760997772217,-1,0,17029,107
17030,106,0.767223146592494,idabd0c53c,left_ankle,0.937618970870972,-1,0,17029,107
17029,105,0.654164632679825,idabd0c53c,right_ankle,0.970832109451294,0,2,17029,107
17881,106,0.448656618213865,idabd0c53c,left_wrist,1.12588095664978,-3,-3,17878,106
