tau_i,T_i,sim_i,subj_id,loc_id,exec_t,finetune
38,109,0.398460166250161,id86237981,left_wrist,4.2218770980835,maxima
146,110,0.355777139440962,id86237981,left_wrist,4.2218770980835,maxima
255,109,0.286192754338085,id86237981,left_wrist,4.2218770980835,maxima
363,106,0.312811282239,id86237981,left_wrist,4.2218770980835,maxima
468,105,0.24090422731449,id86237981,left_wrist,4.2218770980835,maxima
572,106,0.332190670546019,id86237981,left_wrist,4.2218770980835,maxima
677,104,0.264337484090771,id86237981,left_wrist,4.2218770980835,maxima
780,108,0.31809664183495,id86237981,left_wrist,4.2218770980835,maxima
887,107,0.320749352410203,id86237981,left_wrist,4.2218770980835,maxima
993,106,0.364215782469983,id86237981,left_wrist,4.2218770980835,maxima
1098,105,0.317863354409507,id86237981,left_wrist,4.2218770980835,maxima
1202,105,0.293507192869634,id86237981,left_wrist,4.2218770980835,maxima
1306,106,0.258721423521867,id86237981,left_wrist,4.2218770980835,maxima
1411,106,0.31491543348514,id86237981,left_wrist,4.2218770980835,maxima
1516,108,0.282222831947827,id86237981,left_wrist,4.2218770980835,maxima
1623,106,0.253449046807385,id86237981,left_wrist,4.2218770980835,maxima
1728,105,0.281280203244332,id86237981,left_wrist,4.2218770980835,maxima
1832,104,0.274543619460122,id86237981,left_wrist,4.2218770980835,maxima
1935,108,0.309549031607575,id86237981,left_wrist,4.2218770980835,maxima
2042,106,0.29316118648797,id86237981,left_wrist,4.2218770980835,maxima
2147,105,0.314585579267766,id86237981,left_wrist,4.2218770980835,maxima
2251,105,0.275734608000201,id86237981,left_wrist,4.2218770980835,maxima
2355,105,0.30252357610302,id86237981,left_wrist,4.2218770980835,maxima
2459,103,0.264634021295525,id86237981,left_wrist,4.2218770980835,maxima
2561,103,0.288195230994969,id86237981,left_wrist,4.2218770980835,maxima
2663,107,0.310676558855613,id86237981,left_wrist,4.2218770980835,maxima
2769,105,0.336025706563168,id86237981,left_wrist,4.2218770980835,maxima
2873,106,0.284692436709724,id86237981,left_wrist,4.2218770980835,maxima
2978,103,0.295018231818402,id86237981,left_wrist,4.2218770980835,maxima
3080,104,0.28090443644468,id86237981,left_wrist,4.2218770980835,maxima
3183,103,0.289985542458266,id86237981,left_wrist,4.2218770980835,maxima
3285,106,0.284335665067129,id86237981,left_wrist,4.2218770980835,maxima
3390,105,0.276399587691547,id86237981,left_wrist,4.2218770980835,maxima
3494,105,0.293904827969898,id86237981,left_wrist,4.2218770980835,maxima
3598,107,0.337356428344612,id86237981,left_wrist,4.2218770980835,maxima
3704,106,0.287279200929776,id86237981,left_wrist,4.2218770980835,maxima
3809,104,0.256849674183706,id86237981,left_wrist,4.2218770980835,maxima
3912,106,0.302756345624072,id86237981,left_wrist,4.2218770980835,maxima
4017,106,0.314778663334426,id86237981,left_wrist,4.2218770980835,maxima
4122,105,0.285692531361994,id86237981,left_wrist,4.2218770980835,maxima
4226,105,0.302770462625173,id86237981,left_wrist,4.2218770980835,maxima
4330,108,0.280239353358847,id86237981,left_wrist,4.2218770980835,maxima
4437,105,0.296855383480475,id86237981,left_wrist,4.2218770980835,maxima
4541,107,0.319317853528251,id86237981,left_wrist,4.2218770980835,maxima
4647,105,0.288350129508788,id86237981,left_wrist,4.2218770980835,maxima
4751,106,0.310619981535909,id86237981,left_wrist,4.2218770980835,maxima
4856,105,0.271347342183958,id86237981,left_wrist,4.2218770980835,maxima
4960,105,0.307823683868668,id86237981,left_wrist,4.2218770980835,maxima
5064,108,0.32494287160102,id86237981,left_wrist,4.2218770980835,maxima
5171,105,0.256995936521258,id86237981,left_wrist,4.2218770980835,maxima
5275,105,0.293489350038693,id86237981,left_wrist,4.2218770980835,maxima
5379,105,0.240035928787413,id86237981,left_wrist,4.2218770980835,maxima
5483,104,0.285839262638851,id86237981,left_wrist,4.2218770980835,maxima
5586,106,0.268461412959018,id86237981,left_wrist,4.2218770980835,maxima
5691,103,0.280939727361599,id86237981,left_wrist,4.2218770980835,maxima
5793,103,0.265625159696127,id86237981,left_wrist,4.2218770980835,maxima
5895,108,0.284724606726506,id86237981,left_wrist,4.2218770980835,maxima
6002,104,0.297010135651022,id86237981,left_wrist,4.2218770980835,maxima
6105,104,0.277556001497092,id86237981,left_wrist,4.2218770980835,maxima
6208,106,0.293074072842259,id86237981,left_wrist,4.2218770980835,maxima
6313,107,0.330329707723642,id86237981,left_wrist,4.2218770980835,maxima
6419,108,0.24387713348756,id86237981,left_wrist,4.2218770980835,maxima
6526,105,0.215079268187045,id86237981,left_wrist,4.2218770980835,maxima
6630,107,0.271647050117577,id86237981,left_wrist,4.2218770980835,maxima
6736,105,0.32701874298681,id86237981,left_wrist,4.2218770980835,maxima
6840,105,0.31016942623838,id86237981,left_wrist,4.2218770980835,maxima
6944,107,0.324142452634298,id86237981,left_wrist,4.2218770980835,maxima
7050,105,0.329083479402443,id86237981,left_wrist,4.2218770980835,maxima
7154,105,0.381911981381429,id86237981,left_wrist,4.2218770980835,maxima
7258,104,0.283816735480212,id86237981,left_wrist,4.2218770980835,maxima
7361,105,0.3208483408044,id86237981,left_wrist,4.2218770980835,maxima
7465,103,0.318047097634227,id86237981,left_wrist,4.2218770980835,maxima
7567,107,0.325456377785325,id86237981,left_wrist,4.2218770980835,maxima
7673,103,0.269481936723274,id86237981,left_wrist,4.2218770980835,maxima
7775,105,0.288243543098813,id86237981,left_wrist,4.2218770980835,maxima
7879,102,0.292474383270407,id86237981,left_wrist,4.2218770980835,maxima
7980,105,0.261245447476919,id86237981,left_wrist,4.2218770980835,maxima
8084,106,0.28946731235098,id86237981,left_wrist,4.2218770980835,maxima
8189,106,0.315425425582766,id86237981,left_wrist,4.2218770980835,maxima
8294,103,0.259842492533097,id86237981,left_wrist,4.2218770980835,maxima
8396,104,0.273460057107328,id86237981,left_wrist,4.2218770980835,maxima
8499,104,0.241961569673912,id86237981,left_wrist,4.2218770980835,maxima
8602,105,0.273305565969729,id86237981,left_wrist,4.2218770980835,maxima
8706,105,0.279774513603848,id86237981,left_wrist,4.2218770980835,maxima
8810,106,0.285943104956016,id86237981,left_wrist,4.2218770980835,maxima
8915,106,0.211768465642307,id86237981,left_wrist,4.2218770980835,maxima
9020,105,0.281363481218976,id86237981,left_wrist,4.2218770980835,maxima
9124,108,0.257317675059172,id86237981,left_wrist,4.2218770980835,maxima
9231,104,0.278241683305071,id86237981,left_wrist,4.2218770980835,maxima
9334,106,0.292306201896217,id86237981,left_wrist,4.2218770980835,maxima
9439,106,0.301299629409711,id86237981,left_wrist,4.2218770980835,maxima
9544,105,0.290893531158515,id86237981,left_wrist,4.2218770980835,maxima
9648,103,0.249821532234308,id86237981,left_wrist,4.2218770980835,maxima
9750,105,0.297440561569893,id86237981,left_wrist,4.2218770980835,maxima
9854,105,0.30536506729027,id86237981,left_wrist,4.2218770980835,maxima
9958,105,0.229853176675154,id86237981,left_wrist,4.2218770980835,maxima
10062,107,0.292591804986495,id86237981,left_wrist,4.2218770980835,maxima
10168,106,0.317258696184928,id86237981,left_wrist,4.2218770980835,maxima
10273,104,0.338042383396068,id86237981,left_wrist,4.2218770980835,maxima
10376,103,0.266638936495758,id86237981,left_wrist,4.2218770980835,maxima
10478,105,0.298349287593143,id86237981,left_wrist,4.2218770980835,maxima
10582,104,0.262973162619492,id86237981,left_wrist,4.2218770980835,maxima
10685,104,0.340711735687249,id86237981,left_wrist,4.2218770980835,maxima
10788,105,0.274877365721472,id86237981,left_wrist,4.2218770980835,maxima
10892,104,0.316909329246503,id86237981,left_wrist,4.2218770980835,maxima
10995,105,0.237782844621334,id86237981,left_wrist,4.2218770980835,maxima
11099,106,0.283370790490587,id86237981,left_wrist,4.2218770980835,maxima
11204,105,0.239614220262796,id86237981,left_wrist,4.2218770980835,maxima
11308,106,0.28037749267187,id86237981,left_wrist,4.2218770980835,maxima
11413,103,0.286770599463077,id86237981,left_wrist,4.2218770980835,maxima
11515,106,0.317897266953037,id86237981,left_wrist,4.2218770980835,maxima
11620,102,0.320966398851218,id86237981,left_wrist,4.2218770980835,maxima
11721,103,0.218949098912187,id86237981,left_wrist,4.2218770980835,maxima
11823,102,0.242888763471831,id86237981,left_wrist,4.2218770980835,maxima
11924,103,0.210430890756695,id86237981,left_wrist,4.2218770980835,maxima
12026,106,0.245336986676815,id86237981,left_wrist,4.2218770980835,maxima
12131,102,0.266548821321998,id86237981,left_wrist,4.2218770980835,maxima
12232,104,0.277812196244876,id86237981,left_wrist,4.2218770980835,maxima
12335,104,0.241905580473594,id86237981,left_wrist,4.2218770980835,maxima
12438,107,0.265395436283437,id86237981,left_wrist,4.2218770980835,maxima
12544,106,0.281062241246542,id86237981,left_wrist,4.2218770980835,maxima
12649,107,0.284680108642274,id86237981,left_wrist,4.2218770980835,maxima
